roll_id,final_face,n_samples
1,3,107
2,1,488
3,2,153
4,2,137
5,4,91
6,6,186
7,6,132
8,1,135
9,5,140
10,6,136
11,5,133
12,4,143
13,5,122
14,2,139
15,2,137
16,6,127
17,1,96
18,5,143
19,5,102
20,6,124
21,4,91
22,6,84
23,4,87
24,4,97
25,6,147
26,6,130
27,1,158
28,2,206
29,6,177
30,5,212
31,1,122
32,5,143
33,4,95
34,5,163
35,6,143
36,3,177
37,2,209
38,3,208
39,5,187
40,6,147
41,5,134
42,2,169
43,5,184
44,5,220
45,2,246
46,6,144
47,1,168
48,6,207
49,6,217
50,5,189
51,2,139
52,5,148
53,4,151
54,3,166
55,4,169
56,2,236
57,2,160
58,4,238
59,5,216
60,2,233
61,5,184
62,2,122
63,3,174
64,5,114
65,4,115
66,6,123
67,6,99
68,3,131
69,4,114
70,3,98
71,3,138
72,2,120
73,5,126
74,5,157
75,6,114
76,3,121
77,2,133
78,2,127
79,2,121
80,4,135
81,6,148
82,3,137
83,3,154
84,4,179
85,4,129
86,2,179
87,4,140
88,5,160
89,5,36
90,5,119
91,2,112
92,3,219
93,6,118
94,6,181
95,5,157
96,5,150
97,2,140
98,3,144
99,2,163
100,4,159
101,1,120
102,1,118
103,2,114
104,2,131
105,5,168
106,2,126
107,4,112
108,5,105
109,3,108
110,5,100
111,4,111
112,6,124
113,6,110
114,3,102
115,3,144
116,2,119
117,4,118
118,2,128
119,5,109
120,2,128
121,4,136
122,2,120
123,3,159
124,4,150
125,1,215
126,5,145
127,4,120
128,1,186
129,2,298
130,1,144
131,3,127
132,3,91
133,1,89
134,4,75
135,6,94
136,5,134
137,5,111
138,5,125
139,3,108
140,5,91
141,3,106
142,4,90
143,3,78
144,5,129
145,3,142
146,3,117
147,1,107
148,2,101
149,1,102
150,2,115
151,3,117
152,5,102
153,6,123
154,3,127
155,4,116
156,1,82
157,1,114
158,3,103
159,4,98
160,4,252
161,3,182
162,5,117
163,5,116
164,4,109
165,5,92
166,4,86
167,4,89
168,5,82
169,3,80
170,2,124
171,5,100
172,5,109
173,6,123
174,2,234
175,1,113
176,3,129
177,2,100
178,4,121
179,4,142
180,6,163
181,3,126
182,5,103
183,3,111
184,4,163
185,2,139
186,5,118
187,1,127
188,6,80
189,2,97
190,2,102
191,3,88
192,2,81
193,5,94
194,6,88
195,2,80
196,1,99
197,1,23
198,2,152
199,4,132
200,3,185
201,3,104
202,2,120
203,5,130
204,5,147
205,5,114
206,3,122
207,4,121
208,4,116
209,4,131
210,6,115
211,4,115
212,6,161
213,5,163
214,4,132
215,4,118
216,5,124
217,2,133
218,2,143
219,4,108
220,5,112
221,2,133
222,6,110
223,6,122
224,5,105
225,4,107
226,2,194
227,4,161
228,2,138
229,3,142
230,3,86
231,5,103
