time_ms,ax,ay,az,wx,wy,wz
0,-1.226,1.334,0.077,142.8,178.8,-72.1
20,0.513,1.704,-0.536,158.1,-24.1,-49.4
40,0.174,1.511,-0.277,74.6,-74.6,-98.5
60,0.234,1.403,-0.171,-69.3,-192.9,-143.0
80,0.275,1.403,-0.347,-162.1,-214.2,-198.2
100,0.308,1.455,-0.435,-230.3,-229.6,-258.3
120,0.356,1.632,-0.371,-284.7,-191.2,-263.8
143,0.6,1.42,-0.406,-391.5,-170.2,-286.7
164,0.546,1.067,-0.266,-449.6,-21.5,-365.4
184,0.361,0.609,-0.09,-349.3,239.8,-584.2
204,0.086,0.428,0.361,-221.2,376.5,-606.3
224,-0.266,0.081,0.559,-2.7,367.8,-537.1
244,-0.112,0.036,0.363,76.4,428.5,-496.6
264,-0.339,-0.061,0.632,-23.9,527.1,-309.6
284,-0.27,-0.482,0.42,-7.8,612.7,-247.8
304,-0.835,-1.211,0.155,-74.2,549.9,346.9
326,-1.042,-1.496,-0.992,-170.8,-105.4,631.1
346,-1.261,-0.815,-0.402,249.7,84.9,592.3
369,-1.59,-0.752,-0.909,67.8,95.4,336.2
389,-1.269,-0.975,-1.205,79.7,62.3,244.2
409,-1.258,-0.958,-1.207,4.1,21.0,165.7
429,-1.197,-0.821,-1.008,-32.7,46.8,86.0
449,-1.316,-0.721,-0.814,-177.4,47.8,-39.6
469,-1.047,-0.552,-0.765,-212.9,13.5,7.9
489,-1.055,-0.1,-0.499,-265.8,-136.1,243.5
509,-0.726,0.482,0.066,-412.7,-363.6,783.0
530,-0.163,0.211,0.046,-261.5,-211.6,1114.8
550,-0.084,0.205,0.045,-169.0,-102.9,1088.4
571,-0.076,0.204,0.96,-187.2,-90.9,1074.5
591,-0.34,0.763,-0.21,-667.3,285.3,1819.9
613,-0.316,0.769,-0.222,-591.2,297.5,1830.5
633,-0.298,0.768,-0.207,-511.7,310.1,1853.0
655,-0.278,0.771,-0.195,-446.0,315.5,1867.1
676,-6.012,-4.189,3.402,-1016.7,1027.3,2030.9
696,-0.294,1.076,-0.376,-353.7,545.4,2145.7
716,-0.176,0.248,0.069,-355.3,-152.6,1377.6
740,-0.181,0.33,0.023,-349.3,-146.6,1377.8
760,-0.179,0.334,0.018,-344.5,-140.3,1378.8
780,2.015,3.38,1.384,395.7,-400.1,1145.7
800,-0.002,0.284,0.056,212.1,-115.4,1306.7
820,0.002,0.274,0.064,218.1,-135.1,1300.8
841,1.463,-1.047,-1.555,116.9,452.2,391.5
861,-0.019,0.069,-0.046,130.1,449.4,393.4
881,2.357,-2.284,0.042,-466.4,-150.0,440.5
901,0.691,-0.74,-0.288,-103.8,82.8,577.7
921,0.5,-0.533,-0.265,67.8,206.1,621.0
942,0.455,-0.518,0.167,-2.5,60.7,678.0
962,0.268,-0.244,0.15,-53.7,22.1,1006.5
984,-0.108,-0.092,-0.004,-172.4,-56.5,167.5
1005,-0.305,-0.476,-0.136,175.7,-155.2,-109.3
1026,0.099,-1.858,0.464,-43.6,7.6,72.3
1046,-0.034,-1.038,0.0,14.0,-3.7,-3.1
1066,-0.034,-0.995,0.084,-5.1,-2.3,-0.7
1086,-0.019,-0.992,0.076,-0.5,-2.8,0.2
1109,-0.014,-1.003,0.064,0.5,-2.9,-0.1
1129,-0.019,-1.002,0.058,1.1,-2.7,-0.2
1150,-0.016,-0.998,0.062,0.9,-2.5,0.4
1170,-0.014,-1.001,0.064,0.5,-2.6,0.1
1190,-0.017,-1.0,0.064,0.7,-2.5,0.2
1210,-0.014,-1.005,0.064,0.9,-2.5,0.2
1230,-0.017,-1.002,0.067,0.7,-2.7,0.2
1254,-0.014,-1.003,0.064,0.7,-2.7,0.0
1274,-0.015,-1.0,0.063,0.7,-2.7,0.1
1294,-0.017,-1.002,0.064,0.9,-2.7,0.2
1314,-0.016,-1.001,0.065,0.7,-2.8,0.2
1336,-0.014,-1.001,0.065,0.7,-2.7,0.2
1356,-0.015,-1.003,0.065,0.8,-2.8,0.1
1376,-0.016,-1.001,0.064,0.7,-2.8,0.1
1399,-0.016,-0.999,0.061,0.4,-2.8,0.3
1419,-0.011,-0.999,0.065,0.7,-2.8,0.2
1439,-0.02,-1.001,0.063,0.8,-2.5,0.1
1459,-0.017,-1.002,0.065,0.7,-2.4,0.2
1479,-0.014,-1.0,0.066,0.7,-2.4,0.3
1499,-0.014,-1.0,0.065,0.7,-2.6,0.0
